4.87 	-0.2	1.1	7.5	2.7	13.88
7.49 	-2	21.3	-2	44.8	2.34
					
-1.07 	-0.2	1.1	7.5	2.7	13.88
5.60 	-2	21.3	-2	44.8	2.34
					
1.04 	-0.2	1.1	7.5	2.7	13.88
4.97 	-2	21.3	-2	44.8	2.34
					
1.81 	-0.2	1.1	7.5	2.7	13.88
5.94 	-2	21.3	-2	44.8	2.34
					
3.20 	-0.2	1.1	7.5	2.7	13.88
5.60 	-2	21.3	-2	44.8	2.34
					
1.50 	-0.2	1.1	7.5	2.7	13.88
1.80 	-2	21.3	-2	44.8	2.34
					
2.03 	-0.2	1.1	7.5	2.7	13.88
7.27 	-2	21.3	-2	44.8	2.34
					
5.02 	-0.2	1.1	7.5	2.7	13.88
7.87 	-2	21.3	-2	44.8	2.34
					
1.49 	-0.2	1.1	7.5	2.7	13.88
6.55 	-2	21.3	-2	44.8	2.34
					
3.03 	-0.2	1.1	7.5	2.7	13.88
6.21 	-2	21.3	-2	44.8	2.34
					
2.78 	-0.2	1.1	7.5	2.7	13.88
7.56 	-2	21.3	-2	44.8	2.34
					
1.98 	-0.2	1.1	7.5	2.7	13.88
5.98 	-2	21.3	-2	44.8	2.34
					
-0.09 	-0.2	1.1	7.5	2.7	13.88
4.43 	-2	21.3	-2	44.8	2.34
					
4.85 	-0.2	1.1	7.5	2.7	13.88
9.92 	-2	21.3	-2	44.8	2.34
					
4.11 	-0.2	1.1	7.5	2.7	13.88
15.94 	-2	21.3	-2	44.8	2.34
					
1.37 	-0.2	1.1	7.5	2.7	13.88
6.57 	-2	21.3	-2	44.8	2.34
					
-0.52 	-0.2	1.1	7.5	2.7	13.88
5.15 	-2	21.3	-2	44.8	2.34
					
0.86 	-0.2	1.1	7.5	2.7	13.88
4.89 	-2	21.3	-2	44.8	2.34
					
1.94 	-0.2	1.1	7.5	2.7	13.88
5.25 	-2	21.3	-2	44.8	2.34
					
-0.04 	-0.2	1.1	7.5	2.7	13.88
4.42 	-2	21.3	-2	44.8	2.34
					
4.92 	-0.2	1.1	7.5	2.7	13.88
7.43 	-2	21.3	-2	44.8	2.34
					
0.88 	-0.2	1.1	7.5	2.7	13.88
9.74 	-2	21.3	-2	44.8	2.34
					
0.99 	-0.2	1.1	7.5	2.7	13.88
4.95 	-2	21.3	-2	44.8	2.34
					
0.61 	-0.2	1.1	7.5	2.7	13.88
8.69 	-2	21.3	-2	44.8	2.34
					
-1.29 	-0.2	1.1	7.5	2.7	13.88
6.72 	-2	21.3	-2	44.8	2.34
					
-0.50 	-0.2	1.1	7.5	2.7	13.88
8.98 	-2	21.3	-2	44.8	2.34
					
0.68 	-0.2	1.1	7.5	2.7	13.88
8.06 	-2	21.3	-2	44.8	2.34
					
3.25 	-0.2	1.1	7.5	2.7	13.88
10.26 	-2	21.3	-2	44.8	2.34
					
2.33 	-0.2	1.1	7.5	2.7	13.88
5.58 	-2	21.3	-2	44.8	2.34
					
3.32 	-0.2	1.1	7.5	2.7	13.88
7.43 	-2	21.3	-2	44.8	2.34
					
					
8.77 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
8.06 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
8.35 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
8.77 	-0.2	1.1	7.5	2.7	13.88
-11.85 	-2	21.3	-2	44.8	2.34
					
8.06 	-0.2	1.1	7.5	2.7	13.88
-13.27 	-2	21.3	-2	44.8	2.34
					
8.45 	-0.2	1.1	7.5	2.7	13.88
-0.92 	-2	21.3	-2	44.8	2.34
					
5.43 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
6.04 	-0.2	1.1	7.5	2.7	13.88
0.37 	-2	21.3	-2	44.8	2.34
					
5.13 	-0.2	1.1	7.5	2.7	13.88
0.36 	-2	21.3	-2	44.8	2.34
					
5.43 	-0.2	1.1	7.5	2.7	13.88
