2.028568	-0.2	1.1	7.5	2.7	-13.88
7.2727039	-2	21.3	-2	44.8	2.34
					
5.019178	-0.2	1.1	7.5	2.7	-13.88
7.8650593	-2	21.3	-2	44.8	2.34
					
1.4884816	-0.2	1.1	7.5	2.7	-13.88
6.5490756	-2	21.3	-2	44.8	2.34
					
4.8675748	-0.2	1.1	7.5	2.7	-13.88
7.4896839	-2	21.3	-2	44.8	2.34
					
-1.1704964	-0.2	1.1	7.5	2.7	-13.88
8.6006215	-2	21.3	-2	44.8	2.34
					
1.809454	-0.2	1.1	7.5	2.7	-13.88
11.9410286	-2	21.3	-2	44.8	2.34
					
1.0372252	-0.2	1.1	7.5	2.7	-13.88
4.971631	-2	21.3	-2	44.8	2.34
					
-1.2865676	-0.2	1.1	7.5	2.7	-13.88
6.7194049	-2	21.3	-2	44.8	2.34
					
5.46	-0.2	1.1	7.5	2.7	-13.88
29.61	-2	21.3	-2	44.8	2.34
					
0.6819052	-0.2	1.1	7.5	2.7	-13.88
8.0614262	-2	21.3	-2	44.8	2.34
					
3.254422	-0.2	1.1	7.5	2.7	-13.88
10.2594336	-2	21.3	-2	44.8	2.34
					
2.3329588	-0.2	1.1	7.5	2.7	-13.88
5.5824297	-2	21.3	-2	44.8	2.34
					
3.3207484	-0.2	1.1	7.5	2.7	-13.88
7.4332691	-2	21.3	-2	44.8	2.34
					
-0.4953884	-0.2	1.1	7.5	2.7	-13.88
8.9825063	-2	21.3	-2	44.8	2.34
					
1.9409224	-0.2	1.1	7.5	2.7	-13.88
5.253705	-2	21.3	-2	44.8	2.34
					
-0.03821	-0.2	1.1	7.5	2.7	-13.88
4.4161622	-2	21.3	-2	44.8	2.34
					
4.918504	-0.2	1.1	7.5	2.7	-13.88
7.4300144	-2	21.3	-2	44.8	2.34
					
0.8832532	-0.2	1.1	7.5	2.7	-13.88
9.7386816	-2	21.3	-2	44.8	2.34
					
0.9910336	-0.2	1.1	7.5	2.7	-13.88
4.9488481	-2	21.3	-2	44.8	2.34
					
0.6096568	-0.2	1.1	7.5	2.7	-13.88
8.692838	-2	21.3	-2	44.8	2.34
					
0.8583808	-0.2	1.1	7.5	2.7	-13.88
4.8924333	-2	21.3	-2	44.8	2.34
					
3.757792	-0.2	1.1	7.5	2.7	-13.88
9.1658544	-2	21.3	-2	44.8	2.34
					
-0.0938768	-0.2	1.1	7.5	2.7	-13.88
4.4280961	-2	21.3	-2	44.8	2.34
					
4.84744	-0.2	1.1	7.5	2.7	-13.88
9.9241995	-2	21.3	-2	44.8	2.34
					
4.1142964	-0.2	1.1	7.5	2.7	-13.88
15.9443096	-2	21.3	-2	44.8	2.34
					
1.3664884	-0.2	1.1	7.5	2.7	-13.88
6.5729434	-2	21.3	-2	44.8	2.34
					
-0.5202608	-0.2	1.1	7.5	2.7	-13.88
5.1462999	-2	21.3	-2	44.8	2.34
